Time,Yaw,Yaw_Target,Yaw_Error,Servo_Cmd,X_Position,Y_Position,Altitude,Velocity_Z,Distance_To_Target
5.000000,161.399749,210.770439,37.385250,-15.000000,1562.243885,1032.009648,673.500000,-15.000000,1528.113624
5.100000,173.397923,210.792116,49.392368,15.000000,1561.574200,1032.085890,672.000000,-15.000000,1527.587347
5.200000,161.391416,210.807437,37.409514,-15.000000,1560.853692,1032.365577,670.500000,-15.000000,1527.051153
5.300000,173.398836,210.830303,49.438886,15.000000,1560.070093,1032.459820,669.000000,-15.000000,1526.575677
5.400000,161.404019,210.848420,37.449584,-15.000000,1559.294065,1032.712133,667.500000,-15.000000,1525.951185
5.500000,173.403890,210.871503,49.467484,15.000000,1558.567431,1032.820968,666.000000,-15.000000,1525.414446
5.600000,161.389614,210.889022,37.485133,-15.000000,1557.760832,1033.101685,664.500000,-15.000000,1524.846678
5.700000,173.390575,210.913642,49.524028,15.000000,1556.738621,1033.204320,663.000000,-15.000000,1524.298738
5.800000,161.401156,210.936704,37.546129,-15.000000,1556.017498,1033.482437,661.500000,-15.000000,1523.474592
5.900000,173.401010,210.959625,49.558469,15.000000,1555.182385,1033.609854,660.000000,-15.000000,1522.999158
6.000000,161.427366,210.979907,37.578896,-15.000000,1554.450617,1033.876475,658.500000,-15.000000,1522.348666
6.100000,173.432718,211.002694,49.575328,15.000000,1553.617436,1033.972821,657.000000,-15.000000,1521.858646
6.200000,161.407473,211.021968,37.589250,-15.000000,1552.759953,1034.244573,655.500000,-15.000000,1521.194203
6.300000,173.400861,211.047395,49.639922,15.000000,1552.036843,1034.349487,654.000000,-15.000000,1520.599567
6.400000,161.395799,211.064840,37.663980,-15.000000,1551.165722,1034.568909,652.500000,-15.000000,1520.034230
6.500000,173.394995,211.088878,49.693080,15.000000,1550.404140,1034.665455,651.000000,-15.000000,1519.401398
6.600000,161.393800,211.106833,37.711838,-15.000000,1549.717286,1034.927107,649.500000,-15.000000,1518.799132
6.700000,173.394267,211.128677,49.734877,15.000000,1548.816136,1035.017470,648.000000,-15.000000,1518.346334
6.800000,161.403435,211.149185,37.754919,-15.000000,1548.017536,1035.266181,646.500000,-15.000000,1517.621752
6.900000,173.409785,211.172826,49.769390,15.000000,1547.542712,1035.265268,645.000000,-15.000000,1517.067071
7.000000,161.407745,211.182081,37.772296,-15.000000,1546.749029,1035.544678,643.500000,-15.000000,1516.660355
7.100000,173.409582,211.206644,49.798899,15.000000,1545.986528,1035.631879,642.000000,-15.000000,1516.126145
7.200000,161.409133,211.224400,37.814818,-15.000000,1545.218107,1035.888138,640.500000,-15.000000,1515.519228
7.300000,173.400597,211.247753,49.838620,15.000000,1544.356092,1036.005426,639.000000,-15.000000,1514.995086
7.400000,161.407586,211.268466,37.867869,-15.000000,1543.595277,1036.260161,637.500000,-15.000000,1514.319062
7.500000,173.400575,211.291653,49.884067,15.000000,1542.583986,1036.347868,636.000000,-15.000000,1513.801104
7.600000,161.406837,211.314383,37.913807,-15.000000,1541.912064,1036.527939,634.500000,-15.000000,1512.982594
7.700000,173.409805,211.333439,49.926603,15.000000,1541.133199,1036.620040,633.000000,-15.000000,1512.502225
7.800000,161.408699,211.351770,37.941964,-15.000000,1540.549649,1036.789678,631.500000,-15.000000,1511.884924
7.900000,173.410713,211.368771,49.960071,15.000000,1539.786457,1036.850527,630.000000,-15.000000,1511.474907
8.000000,161.415101,211.385807,37.975093,-15.000000,1539.173053,1037.089106,628.500000,-15.000000,1510.855008
8.100000,173.412189,211.405650,49.990549,15.000000,1538.233745,1037.163598,627.000000,-15.000000,1510.455701
8.200000,161.422554,211.426640,38.014451,-15.000000,1537.366984,1037.482110,625.500000,-15.000000,1509.692919
8.300000,173.416550,211.454117,50.031562,15.000000,1536.580949,1037.577923,624.000000,-15.000000,1509.119553
8.400000,161.422171,211.472800,38.056250,-15.000000,1535.814858,1037.835472,622.500000,-15.000000,1508.499097
8.500000,173.422780,211.496343,50.074172,15.000000,1535.071859,1037.912036,621.000000,-15.000000,1507.980298
8.600000,161.425080,211.513579,38.090799,-15.000000,1534.336962,1038.180316,619.500000,-15.000000,1507.386832
8.700000,173.440641,211.536881,50.111801,15.000000,1533.372822,1038.194064,618.000000,-15.000000,1506.900675
8.800000,161.434146,211.556511,38.115870,-15.000000,1532.486919,1038.479737,616.500000,-15.000000,1506.086213
8.900000,173.429373,211.583420,50.149274,15.000000,1531.723304,1038.568635,615.000000,-15.000000,1505.480984
9.000000,161.415851,211.601531,38.172158,-15.000000,1530.939512,1038.847306,613.500000,-15.000000,1504.877111
9.100000,173.431674,211.626213,50.210362,15.000000,1530.082780,1038.921457,612.000000,-15.000000,1504.355711
9.200000,161.438347,211.645737,38.214063,-15.000000,1529.270374,1039.213054,610.500000,-15.000000,1503.665185
9.300000,173.423032,211.671447,50.233099,15.000000,1528.556251,1039.300893,609.000000,-15.000000,1503.126719
9.400000,161.433661,211.688595,38.265563,-15.000000,1527.778753,1039.598315,607.500000,-15.000000,1502.565135
9.500000,173.422809,211.713828,50.280167,15.000000,1527.063325,1039.696435,606.000000,-15.000000,1502.059933
9.600000,161.441516,211.731364,38.308554,-15.000000,1526.331337,1039.928619,604.500000,-15.000000,1501.502979
9.700000,173.466343,211.753597,50.312081,15.000000,1525.626672,1039.961449,603.000000,-15.000000,1501.002633
9.800000,161.468553,211.768824,38.302481,-15.000000,1524.863896,1040.217014,601.500000,-15.000000,1500.420773
9.900000,173.450417,211.792465,50.323912,15.000000,1523.974976,1040.298075,600.000000,-15.000000,1499.906959
10.000000,161.444858,211.812996,38.362580,-15.000000,1523.130864,1040.550995,598.500000,-15.000000,1499.194212
10.100000,173.470915,211.838226,50.393368,15.000000,1522.359503,1040.649270,597.000000,-15.000000,1498.610380
10.200000,161.465501,211.856983,38.386068,-15.000000,1521.460264,1040.970273,595.500000,-15.000000,1498.007000
10.300000,173.470924,211.885576,50.420074,15.000000,1520.670269,1041.061150,594.000000,-15.000000,1497.412827
10.400000,161.479534,211.904503,38.433579,-15.000000,1520.105112,1041.392099,592.500000,-15.000000,1496.790124
10.500000,173.476186,211.926696,50.447162,15.000000,1519.338372,1041.493870,591.000000,-15.000000,1496.485366
10.600000,161.476890,211.945535,38.469349,-15.000000,1518.710139,1041.816762,589.500000,-15.000000,1495.888515
10.700000,173.482881,211.968767,50.491877,15.000000,1517.776525,1041.978006,588.000000,-15.000000,1495.526396
10.800000,161.472792,211.992956,38.510075,-15.000000,1517.122743,1042.231143,586.500000,-15.000000,1494.819882
10.900000,173.491803,212.014468,50.541676,15.000000,1516.315861,1042.321869,585.000000,-15.000000,1494.399622
11.000000,161.489562,212.033826,38.542023,-15.000000,1515.674802,1042.627481,583.500000,-15.000000,1493.763637
11.100000,173.491428,212.056812,50.567250,15.000000,1514.830475,1042.725510,582.000000,-15.000000,1493.382412
11.200000,161.487798,212.077202,38.585774,-15.000000,1514.134664,1043.005928,580.500000,-15.000000,1492.718950
11.300000,173.504248,212.100512,50.612715,15.000000,1513.434460,1043.053783,579.000000,-15.000000,1492.278409
11.400000,161.514308,212.116361,38.612113,-15.000000,1512.687896,1043.303961,577.500000,-15.000000,1491.710742
11.500000,173.512300,212.139753,50.625444,15.000000,1511.878585,1043.394342,576.000000,-15.000000,1491.211553
11.600000,161.513717,212.159244,38.646944,-15.000000,1511.106521,1043.650358,574.500000,-15.000000,1490.574435
11.700000,173.526042,212.183380,50.669663,15.000000,1510.453027,1043.771299,573.000000,-15.000000,1490.057230
11.800000,161.526740,212.200705,38.674663,-15.000000,1509.834978,1044.004264,571.500000,-15.000000,1489.568632
11.900000,173.523727,212.220962,50.694221,15.000000,1509.045331,1044.096662,570.000000,-15.000000,1489.169884
12.000000,161.522708,212.240176,38.716449,-15.000000,1508.341452,1044.348046,568.500000,-15.000000,1488.551193
12.100000,173.524938,212.262821,50.740113,15.000000,1507.377766,1044.335129,567.000000,-15.000000,1488.090061
12.200000,161.535004,212.282217,38.757279,-15.000000,1506.559183,1044.676075,565.500000,-15.000000,1487.268350
12.300000,173.551572,212.310174,50.775170,15.000000,1505.769759,1044.768041,564.000000,-15.000000,1486.758570
12.400000,161.557501,212.329438,38.777866,-15.000000,1505.047895,1045.039520,562.500000,-15.000000,1486.140615
12.500000,173.562261,212.353173,50.795672,15.000000,1504.088479,1045.084250,561.000000,-15.000000,1485.675959
12.600000,161.558858,212.374442,38.812180,-15.000000,1503.348881,1045.338984,559.500000,-15.000000,1484.889517
12.700000,173.562290,212.398032,50.839174,15.000000,1502.499553,1045.441093,558.000000,-15.000000,1484.401400
12.800000,161.551548,212.418934,38.856644,-15.000000,1501.850295,1045.698300,556.500000,-15.000000,1483.739082
12.900000,173.556080,212.440765,50.889217,15.000000,1501.148351,1045.742703,555.000000,-15.000000,1483.329008
13.000000,161.544733,212.456763,38.900683,-15.000000,1500.372511,1045.991232,553.500000,-15.000000,1482.760481
13.100000,173.536043,212.480964,50.936231,15.000000,1499.504090,1046.065645,552.000000,-15.000000,1482.239339
13.200000,161.539186,212.501427,38.965383,-15.000000,1498.798922,1046.333935,550.500000,-15.000000,1481.546821
13.300000,173.549632,212.524838,50.985651,15.000000,1497.830593,1046.413947,549.000000,-15.000000,1481.096379
13.400000,161.553314,212.547600,38.997969,-15.000000,1496.901672,1046.660858,547.500000,-15.000000,1480.323060
13.500000,173.563989,212.575011,51.021697,15.000000,1495.954654,1046.748009,546.000000,-15.000000,1479.673039
13.600000,161.558228,212.597610,39.033621,-15.000000,1495.259677,1046.970923,544.500000,-15.000000,1478.922036
13.700000,173.546923,212.619397,51.061169,15.000000,1494.591901,1047.085206,543.000000,-15.000000,1478.456734
13.800000,161.560623,212.637084,39.090161,-15.000000,1493.917162,1047.358998,541.500000,-15.000000,1477.955962
13.900000,173.561824,212.660136,51.099513,15.000000,1492.990032,1047.449057,540.000000,-15.000000,1477.535542
14.000000,161.563886,212.682489,39.120665,-15.000000,1492.278537,1047.684288,538.500000,-15.000000,1476.803716
14.100000,173.564799,212.705083,51.141197,15.000000,1491.651380,1047.737036,537.000000,-15.000000,1476.332004
14.200000,161.565860,212.719962,39.155162,-15.000000,1490.909049,1047.983746,535.500000,-15.000000,1475.832825
14.300000,173.569482,212.743606,51.177745,15.000000,1490.126673,1048.056339,534.000000,-15.000000,1475.341766
14.400000,161.591640,212.762419,39.192937,-15.000000,1489.489879,1048.371927,532.500000,-15.000000,1474.723054
14.500000,173.600215,212.786124,51.194484,15.000000,1488.664362,1048.476628,531.000000,-15.000000,1474.358468
14.600000,161.595517,212.806925,39.206710,-15.000000,1487.942042,1048.763475,529.500000,-15.000000,1473.721252
14.700000,173.585497,212.831522,51.236005,15.000000,1487.318090,1048.777853,528.000000,-15.000000,1473.269693
14.800000,161.593533,212.845153,39.259656,-15.000000,1486.553783,1049.035498,526.500000,-15.000000,1472.753243
14.900000,173.618530,212.869709,51.276176,15.000000,1485.642710,1049.157505,525.000000,-15.000000,1472.250993
15.000000,161.614020,212.892951,39.274422,-15.000000,1484.846137,1049.406704,523.500000,-15.000000,1471.552114
15.100000,173.617313,212.917951,51.303931,15.000000,1484.228532,1049.606470,522.000000,-15.000000,1471.018715
15.200000,161.626945,212.937561,39.320248,-15.000000,1483.409336,1049.831715,520.500000,-15.000000,1470.608914
15.300000,173.624957,212.962289,51.335344,15.000000,1482.586072,1049.914402,519.000000,-15.000000,1470.044000
15.400000,161.613003,212.982460,39.357503,-15.000000,1481.589570,1050.205636,517.500000,-15.000000,1469.398338
15.500000,173.604570,213.013153,51.400150,15.000000,1480.879430,1050.285965,516.000000,-15.000000,1468.721188
15.600000,161.618966,213.030881,39.426311,-15.000000,1480.069347,1050.525455,514.500000,-15.000000,1468.169540
15.700000,173.623869,213.055958,51.436992,15.000000,1479.310702,1050.599731,513.000000,-15.000000,1467.621069
15.800000,161.624471,213.074551,39.450682,-15.000000,1478.539160,1050.854771,511.500000,-15.000000,1467.025812
15.900000,173.621419,213.099351,51.474880,15.000000,1477.696143,1050.949523,510.000000,-15.000000,1466.518609
